#,blue value,green value,red value,concentration
165,0.700494281,0.270296453,0.029209265,0.745
59,0.629702343,0.253168457,0.1171292,0.25
134,0.646954504,0.267272755,0.085772742,0.498
207,0.702635122,0.270498875,0.026866003,0.745
52,0.62952519,0.253452373,0.117022437,0.25
26,0.666757013,0.197765385,0.135477602,0
42,0.682658484,0.188993569,0.128347948,0
144,0.648947052,0.267073564,0.083979383,0.498
124,0.646908585,0.266904878,0.086186537,0.498
5,0.676879074,0.192122376,0.130998551,0
91,0.630844252,0.253040365,0.116115383,0.25
149,0.648478197,0.267312459,0.084209344,0.498
115,0.647797189,0.267422057,0.084780755,0.498
142,0.648097919,0.26730644,0.084595641,0.498
111,0.647658843,0.267486527,0.084854629,0.498
80,0.630216418,0.252408641,0.117374941,0.25
25,0.679703468,0.193273848,0.127022684,0
13,0.669012068,0.19474553,0.136242402,0
65,0.629086782,0.252697661,0.118215557,0.25
106,0.630035865,0.252569029,0.117395106,0.25
32,0.66463312,0.197486955,0.137879925,0
179,0.702704737,0.269443494,0.02785177,0.745
171,0.700713654,0.2695652,0.029721147,0.745
30,0.683091029,0.191845765,0.125063206,0
116,0.647632025,0.267398198,0.084969777,0.498
3,0.677555739,0.191499845,0.130944415,0
84,0.634728358,0.251256588,0.114015054,0.25
82,0.631488634,0.251411728,0.117099638,0.25
126,0.647325298,0.267736575,0.084938127,0.498
138,0.647592074,0.266969494,0.085438431,0.498
148,0.647635977,0.266710348,0.085653675,0.498
198,0.70297097,0.269932156,0.027096875,0.745
95,0.630532472,0.251528484,0.117939044,0.25
176.00,0.701623334,0.269701176,0.028675489,0.745
87,0.634004134,0.252197058,0.113798808,0.25
92,0.630823346,0.252470181,0.116706473,0.25
105,0.630310819,0.252604468,0.117084713,0.25
152,0.647251185,0.267356921,0.085391893,0.498
47,0.671611822,0.19229825,0.136089928,0
71,0.628866818,0.253201642,0.11793154,0.25
7,0.671063971,0.194061075,0.134874954,0
93,0.629735793,0.252553403,0.117710803,0.25
74,0.628671501,0.252743965,0.118584534,0.25
46,0.67428029,0.192187056,0.133532654,0
89,0.632682415,0.253088502,0.114229083,0.25
4,0.66617838,0.194540101,0.13928152,0
8,0.675993447,0.191918143,0.13208841,0
43,0.680052083,0.189460468,0.130487449,0
39,0.676134791,0.191679244,0.132185965,0
99,0.629119089,0.249916613,0.120964298,0.25
123,0.64702247,0.267227081,0.085750449,0.498
191,0.702152297,0.270064723,0.02778298,0.745
69,0.627927985,0.252705101,0.119366914,0.25
145,0.648184163,0.26755089,0.084264948,0.498
86,0.634655121,0.251699069,0.11364581,0.25
129,0.647139549,0.267306612,0.08555384,0.498
185,0.701323717,0.270061678,0.028614605,0.745
29,0.677524636,0.192250781,0.130224583,0
27,0.680795262,0.191552141,0.127652597,0
167,0.700400324,0.270008759,0.029590917,0.745
38,0.682511806,0.192072519,0.125415676,0
22,0.674148052,0.192955364,0.132896584,0
128,0.647654837,0.267862521,0.084482643,0.498
184,0.701346007,0.270075518,0.028578475,0.745
70,0.628248339,0.252794495,0.118957166,0.25
196,0.70031265,0.269764088,0.029923261,0.745
156,0.647667558,0.267475231,0.084857211,0.498
202,0.701379164,0.270382481,0.028238355,0.745
23,0.680668076,0.192684403,0.126647521,0
15,0.677017357,0.191284822,0.131697821,0
98,0.630820835,0.251004132,0.118175033,0.25
77,0.628847663,0.252382411,0.118769927,0.25
212,0.702719241,0.270571882,0.026708876,0.745
54,0.629968686,0.253686245,0.116345068,0.25
50,0.674622393,0.192013873,0.133363734,0
139,0.648870106,0.267310461,0.083819433,0.498
44,0.671934326,0.193345336,0.134720338,0
118,0.647556802,0.267379548,0.08506365,0.498
36,0.676948533,0.191860332,0.131191136,0
37,0.664284728,0.196397566,0.139317706,0
109,0.647280225,0.267367521,0.085352254,0.498
158,0.647131287,0.266779587,0.086089125,0.498
174,0.702498424,0.269394584,0.028106991,0.745
10,0.664539466,0.195652482,0.139808052,0
209,0.70169099,0.27057188,0.02773713,0.745
146,0.647613393,0.266540553,0.085846054,0.498
53,0.628022866,0.252799153,0.119177981,0.25
97,0.630338142,0.252739397,0.11692246,0.25
79,0.629545718,0.252951746,0.117502536,0.25
17,0.67065548,0.193407367,0.135937153,0
114,0.647438769,0.267337655,0.085223576,0.498
160,0.700383008,0.269557898,0.030059094,0.745
155,0.647110337,0.267084327,0.085805336,0.498
162,0.698196661,0.270181711,0.031621628,0.745
34,0.675468822,0.192601787,0.131929391,0
119,0.647142054,0.267488503,0.085369443,0.498
41,0.683383266,0.189121188,0.127495546,0
180,0.702811168,0.269743662,0.02744517,0.745
40,0.682718174,0.189752851,0.127528975,0
122,0.646655332,0.267168465,0.086176203,0.498
200,0.70103107,0.270587427,0.028381502,0.745
161,0.69965498,0.270386483,0.029958537,0.745
9,0.677823677,0.190898028,0.131278296,0
68,0.628403528,0.252755957,0.118840515,0.25
49,0.678374808,0.190999577,0.130625615,0
210,0.701919243,0.269997044,0.028083713,0.745
24,0.677883281,0.192955046,0.129161673,0
67,0.629283589,0.252486355,0.118230056,0.25
78,0.629986778,0.252157898,0.117855324,0.25
199,0.701540554,0.27056725,0.027892196,0.745
90,0.631874622,0.251938984,0.116186394,0.25
189,0.702728116,0.269540518,0.027731366,0.745
20,0.670485705,0.193608164,0.135906131,0
108,0.647629934,0.26749181,0.084878256,0.498
178,0.702197661,0.269841148,0.027961191,0.745
57,0.629528273,0.253743376,0.116728352,0.25
75,0.628880179,0.252959976,0.118159845,0.25
110,0.647179761,0.267313626,0.085506613,0.498
48,0.681593125,0.188983031,0.129423843,0
45,0.667443932,0.19356601,0.138990058,0
61,0.630127277,0.253267917,0.116604806,0.25
73,0.628561732,0.25250693,0.118931338,0.25
151,0.648567755,0.267458006,0.083974239,0.498
169,0.702253014,0.269581314,0.028165673,0.745
107,0.647594649,0.267323846,0.085081505,0.498
211,0.702773957,0.270417838,0.026808205,0.745
117,0.647673675,0.267205313,0.085121012,0.498
85,0.634189283,0.250973641,0.114837075,0.25
188,0.704327775,0.270069302,0.025602923,0.745
19,0.676525731,0.191883435,0.131590834,0
205,0.701633343,0.270241087,0.02812557,0.745
173,0.701745454,0.269868232,0.028386314,0.745
58,0.629345876,0.253103136,0.117550988,0.25
33,0.681141839,0.190764403,0.128093758,0
195,0.697695216,0.269757284,0.0325475,0.745
194,0.700049523,0.269844067,0.03010641,0.745
147,0.648240595,0.267016131,0.084743274,0.498
172,0.698083655,0.268872463,0.033043882,0.745
136,0.645771176,0.266109524,0.0881193,0.498
140,0.647961923,0.267078221,0.084959855,0.498
177,0.701795149,0.269711489,0.028493362,0.745
157,0.647377249,0.267064082,0.085558669,0.498
112,0.647433117,0.267107135,0.085459748,0.498
6,0.681802388,0.190540946,0.127656666,0
187,0.702843194,0.270070699,0.027086107,0.745
181,0.70170036,0.269468857,0.028830783,0.745
66,0.628957445,0.252736137,0.118306418,0.25
88,0.636082399,0.251616618,0.112300983,0.25
143,0.648775715,0.267485143,0.083739142,0.498
96,0.630119264,0.250808188,0.119072549,0.25
21,0.666964971,0.195294949,0.13774008,0
164,0.701367445,0.270265013,0.028367542,0.745
63,0.630778772,0.253764652,0.115456576,0.25
159,0.647478333,0.26774169,0.084779977,0.498
204,0.701091779,0.270164456,0.028743765,0.745
60,0.630892455,0.253410232,0.115697314,0.25
186,0.702165106,0.270150813,0.02768408,0.745
182,0.700438883,0.269594885,0.029966232,0.745
94,0.628973637,0.250189485,0.120836878,0.25
168,0.70096453,0.269628729,0.029406741,0.745
175,0.70123626,0.270084582,0.028679158,0.745
163,0.70191091,0.270440719,0.027648371,0.745
56,0.630420869,0.253447972,0.116131159,0.25
31,0.678105098,0.191715754,0.130179147,0
104,0.628781183,0.252508018,0.1187108,0.25
121,0.647751174,0.267588485,0.084660341,0.498
130,0.647860114,0.267539513,0.084600374,0.498
1,0.677975532,0.193157471,0.128866997,0
101,0.630732342,0.252680961,0.116586697,0.25
83,0.634691173,0.251448115,0.113860712,0.25
11,0.675677202,0.192783161,0.131539637,0
64,0.629569197,0.252675675,0.117755128,0.25
100,0.630418713,0.251286969,0.118294317,0.25
208,0.701698668,0.269753589,0.028547743,0.745
76,0.628738076,0.252380818,0.118881107,0.25
113,0.647682481,0.267741571,0.084575948,0.498
201,0.698619517,0.269946867,0.031433615,0.745
132,0.647232186,0.267424046,0.085343768,0.498
153,0.647494544,0.266966753,0.085538703,0.498
190,0.701149709,0.269392904,0.029457387,0.745
141,0.648028262,0.267348011,0.084623727,0.498
137,0.648167027,0.267613043,0.08421993,0.498
62,0.630565385,0.253199842,0.116234773,0.25
55,0.631275897,0.253589905,0.115134199,0.25
28,0.676926382,0.193049582,0.130024036,0
170,0.700952908,0.270066057,0.028981035,0.745
72,0.629603288,0.25254208,0.117854632,0.25
14,0.667601831,0.194459643,0.137938526,0
135,0.645432341,0.266481431,0.088086228,0.498
150,0.647242353,0.266942552,0.085815095,0.498
206,0.701336299,0.270373795,0.028289906,0.745
18,0.665489506,0.195817683,0.138692811,0
203,0.701235048,0.270081474,0.028683477,0.745
133,0.647378804,0.26748854,0.085132656,0.498
197,0.701745469,0.269967041,0.02828749,0.745
192,0.700341724,0.269976455,0.029681821,0.745
102,0.631675228,0.252492291,0.115832481,0.25
127,0.647291307,0.267740412,0.084968281,0.498
193,0.701841112,0.270545765,0.027613124,0.745
120,0.647325435,0.267401726,0.085272839,0.498
166,0.70082321,0.270079813,0.029096977,0.745
81,0.630104675,0.25292274,0.116972585,0.25
2,0.669626514,0.19486847,0.135505016,0
35,0.677796667,0.191745188,0.130458145,0
131,0.647865424,0.267798495,0.084336081,0.498
51,0.677927861,0.19142665,0.130645489,0
12,0.679761905,0.191301475,0.12893662,0
125,0.647237221,0.267549254,0.085213525,0.498
103,0.63086604,0.25239701,0.11673695,0.25
16,0.662195441,0.197191583,0.140612977,0
183,0.700224169,0.270073173,0.029702659,0.745
154,0.647690053,0.266725952,0.085583995,0.498
